CountOfSales,SumOfProfit,SumOfCOGS,State
288,31785,45482,California
216,30821,29482,Illinois
216,22212,23518,Iowa
192,20096,git remote add origin https://github.com/PhucMaii/CSTP1206-FinalProject.git,New York
264,17743,20402,Colorado
144,16442,9066,Massachusetts
168,15766,15674,Texas
264,12439,17294,Oregon
216,12310,15496,Florida
240,11405,15814,Washington
216,10773,14632,Ohio
264,10616,31454,Nevada
216,8702,13640,Wisconsin
168,8558,11234,Oklahoma
288,7751,15766,Utah
168,7621,10470,Connecticut
168,7355,9398,Louisiana
216,3601,11434,Missouri
168,2748,5658,New Hampshire
168,799,7594,New Mexico
